year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lis-bro-w03-1,Bronze,"Carlos Vega & Pablo Herrera",athleteprofile-1767226939915-4nim4c|athleteprofile-1767227069915-7czior,0,78.5,100%_bots,16,16,false
2026,tournament-2026-bcn-sil-w08-1,Silver,"Pablo Rojas & Javier Fernández 340",athleteprofile-1767226943915-02qiim|athleteprofile-1767227135915-ms0lmp,0,75.5,100%_bots,16,16,false
2026,tournament-2026-doh-gol-w08-2,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-lim-eli-w08-3,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-riy-bro-w09-1,Bronze,"Rafael Molina & Miguel Ferrer",athleteprofile-1767227139915-88ai9q|athleteprofile-1767227007915-6lvmyi,0,86,100%_bots,16,16,false
2026,tournament-2026-nai-mas-w10-1,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-bkk-bro-w11-1,Bronze,"Rafael Molina & Miguel Ferrer",athleteprofile-1767227139915-88ai9q|athleteprofile-1767227007915-6lvmyi,0,86,100%_bots,16,16,false
2026,tournament-2026-sha-sil-w11-2,Silver,"Emiliano Medina & Franco Castro",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767226963915-9dgbi5,0,83,100%_bots,16,16,false
2026,tournament-2026-akl-bro-w13-1,Bronze,"Emiliano Medina & Franco Castro",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767226963915-9dgbi5,0,83,100%_bots,16,16,false
2026,tournament-2026-mil-eli-w13-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,20,20,false
2026,tournament-2026-cun-sil-w14-1,Silver,"Rafael Molina & Miguel Ferrer",athleteprofile-1767227139915-88ai9q|athleteprofile-1767227007915-6lvmyi,0,86.5,100%_bots,16,16,false
2026,tournament-2026-ist-gol-w14-2,Gold,"Javier Valdés & Pedro Meléndez Amaya",real_javier_valdes|real_pedro_melendez_amaya,2,78,100%_reais,24,24,false
2026,tournament-2026-sin-mas-w14-4,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-mia-pla-w14-3,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,32,32,false
2026,tournament-2026-lon-bro-w15-1,Bronze,"Lucas Cabrera & Thiago Martínez",athleteprofile-1767227178915-fur9kk|athleteprofile-1767227149915-jdidw6,0,75.5,100%_bots,16,16,false
2026,tournament-2026-nyc-bro-w17-1,Bronze,"Rubén Giménez & Thiago Pereira",athleteprofile-1767227097915-tb7azt|athleteprofile-1767226904915-hm24k2,0,78.5,100%_bots,16,16,false
2026,tournament-2026-cas-sil-w17-2,Silver,"Samuel Acosta 348 & Carlos Suárez",athleteprofile-1767227143915-lcslls|athleteprofile-1767227089915-lqz5fu,0,78.5,100%_bots,16,16,false
2026,tournament-2026-mex-eli-w17-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-cor-cro-w18-1,Crown,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-akl-bro-w19-1,Bronze,"Lucas Miranda & Ignacio Cabrera",athleteprofile-1767226987915-xife0f|athleteprofile-1767226991915-cdstq8,0,83,100%_bots,16,16,false
2026,tournament-2026-bog-mas-w19-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,24,24,false
2026,tournament-2026-mon-sil-w20-1,Silver,"João Silva & Marco Ferrer",athleteprofile-1767226955915-szhxro|athleteprofile-1767226908915-hwgysa,0,82.5,100%_bots,16,16,false
2026,tournament-2026-mel-gol-w20-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,24,24,false
2026,tournament-2026-seo-bro-w21-1,Bronze,"João Silva & Marco Ferrer",athleteprofile-1767226955915-szhxro|athleteprofile-1767226908915-hwgysa,0,82.5,100%_bots,16,16,false
2026,tournament-2026-cas-pla-w22-1,Platinum,"Pablo Lijó & Javier Ruiz",real_pablo_lijo|real_javier_ruiz,2,82,100%_reais,32,32,false
2026,tournament-2026-nyc-eli-w22-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,20,20,false
2026,tournament-2026-bcn-bro-w23-1,Bronze,"Ignacio Santos & Pedro Herrera",athleteprofile-1767226964915-1622oy|athleteprofile-1767226956915-m8aidu,0,82,100%_bots,16,16,false
2026,tournament-2026-doh-sil-w23-2,Silver,"Tomás Rojas & Thiago Acosta",athleteprofile-1767226923915-455f2s|athleteprofile-1767226913915-6koxs5,0,85.5,100%_bots,16,16,false
2026,tournament-2026-syd-bro-w24-1,Bronze,"Álvaro Cabrera & Mateo Acosta",athleteprofile-1767227005915-cl7qa5|athleteprofile-1767226975915-sxbb2n,0,79,100%_bots,16,16,false
2026,tournament-2026-nai-mas-w24-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,24,24,false
2026,tournament-2026-sao-gol-w25-1,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,24,24,false
2026,tournament-2026-cpt-bro-w26-1,Bronze,"Rafael Molina & Miguel Ferrer",athleteprofile-1767227139915-88ai9q|athleteprofile-1767227007915-6lvmyi,0,87,100%_bots,16,16,false
2026,tournament-2026-dub-sil-w26-2,Silver,"João Silva & Marco Ferrer",athleteprofile-1767226955915-szhxro|athleteprofile-1767226908915-hwgysa,0,83,100%_bots,16,16,false
2026,tournament-2026-bog-eli-w27-1,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,20,20,false
2026,tournament-2026-riy-bro-w28-1,Bronze,"Ignacio Rojas 963 & Martín Castro",athleteprofile-1767227758915-2d2o09|athleteprofile-1767227741915-xaopzm,0,88,100%_bots,16,16,false
2026,tournament-2026-cun-sil-w29-1,Silver,"Ignacio Rojas 963 & Martín Castro",athleteprofile-1767227758915-2d2o09|athleteprofile-1767227741915-xaopzm,0,88,100%_bots,16,16,false
2026,tournament-2026-san-mas-w29-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,24,24,false
2026,tournament-2026-tor-pla-w29-2,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,32,32,false
2026,tournament-2026-sin-cro-w29-4,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94.5,100%_reais,20,20,false
2026,tournament-2026-lis-bro-w30-1,Bronze,"Tomás Rojas & Thiago Acosta",athleteprofile-1767226923915-455f2s|athleteprofile-1767226913915-6koxs5,0,85.5,100%_bots,16,16,false
2026,tournament-2026-syd-gol-w31-1,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2026,tournament-2026-ath-bro-w32-1,Bronze,"Rafael Molina & Miguel Ferrer",athleteprofile-1767227139915-88ai9q|athleteprofile-1767227007915-6lvmyi,0,87,100%_bots,16,16,false
2026,tournament-2026-mia-sil-w32-2,Silver,"Daniel Ferrer 165 & Carlos Castro",athleteprofile-1767226960915-ool99f|athleteprofile-1767226983915-ciovwa,0,90.5,100%_bots,16,16,false
2026,tournament-2026-mel-eli-w32-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,20,20,false
2026,tournament-2026-bue-mas-w33-1,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,24,24,false
2026,tournament-2026-sao-bro-w34-1,Bronze,"João Herrera & Santiago Suárez",athleteprofile-1767226912915-b9mtgt|athleteprofile-1767226920915-itxqn9,0,84.5,100%_bots,16,16,false
2026,tournament-2026-cph-sil-w35-1,Silver,"Diego Castro & Hugo Pereira",athleteprofile-1767226924915-11bsx7|athleteprofile-1767226909915-3bq63r,0,83.5,100%_bots,16,16,false
2026,tournament-2026-rom-bro-w36-1,Bronze,"Diego Castro & Hugo Pereira",athleteprofile-1767226924915-11bsx7|athleteprofile-1767226909915-3bq63r,0,83.5,100%_bots,16,16,false
2026,tournament-2026-mex-eli-w36-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2026,tournament-2026-cor-gol-w37-1,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,24,24,false
2026,tournament-2026-mon-pla-w37-2,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,32,32,false
2026,tournament-2026-sin-bro-w38-1,Bronze,"Hugo Alonso & Adrián Castro",athleteprofile-1767226962915-85pzfk|athleteprofile-1767226925915-3feq9a,0,85,100%_bots,16,16,false
2026,tournament-2026-bcn-sil-w38-2,Silver,"Santiago Alonso & Bruno Romero",athleteprofile-1767226997915-zvc1aa|athleteprofile-1767227017915-to59ch,0,81.5,100%_bots,16,16,false
2026,tournament-2026-cun-mas-w38-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2026,tournament-2026-sto-bro-w40-1,Bronze,"Tomás Herrera & Diego Castro 352",athleteprofile-1767227174915-468nwk|athleteprofile-1767227147915-kqnthb,0,80.5,100%_bots,16,16,false
2026,tournament-2026-rio-sil-w41-1,Silver,"Javier Giménez & Diego García",athleteprofile-1767227146915-7au8c5|athleteprofile-1767227320915-s1o4hj,0,72.5,100%_bots,16,16,false
2026,tournament-2026-lax-eli-w41-2,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,20,20,false
2026,tournament-2026-tor-cro-w41-3,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2026,tournament-2026-riy-bro-w42-1,Bronze,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92,100%_bots,16,16,false
2026,tournament-2026-ams-gol-w43-1,Gold,"Guillermo Collado & Francisco Cabeza Teres",real_guillermo_collado|real_francisco_cabeza_teres,2,82.5,100%_reais,24,24,false
2026,tournament-2026-lis-mas-w43-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2026,tournament-2026-bog-bro-w44-1,Bronze,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92,100%_bots,16,16,false
2026,tournament-2026-bkk-sil-w44-2,Silver,"Enzo Santos 932 & Rafael Costa 955",athleteprofile-1767227727915-sqhn69|athleteprofile-1767227750915-gbfeg6,0,85.5,100%_bots,16,16,false
2026,tournament-2026-mel-pla-w45-1,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,32,32,false
2026,tournament-2026-par-bro-w46-1,Bronze,"Nicolás Pereira 464 & Gonzalo Castro",athleteprofile-1767227259915-btl87h|athleteprofile-1767227228915-dghetr,0,76,100%_bots,16,16,false
2026,tournament-2026-osa-eli-w46-2,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,20,20,false
2026,tournament-2026-akl-sil-w47-1,Silver,"João Silva & Samuel Fernández",athleteprofile-1767226955915-szhxro|athleteprofile-1767226990915-841v1u,0,88,100%_bots,16,16,false
2026,tournament-2026-ams-leg-w52-1,Legacy Finals,"Juan Lebrón & Leandro Augsburger",real_juan_lebron|real_leandro_augsburger,2,89.5,100%_reais,8,7,true
2027,tournament-2027-pra-bro-w01-1,Bronze,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92.5,100%_bots,16,16,false
2027,tournament-2027-bog-mas-w01-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-nai-sil-w02-1,Silver,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92.5,100%_bots,16,16,false
2027,tournament-2027-riy-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-bkk-bro-w03-1,Bronze,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92.5,100%_bots,16,16,false
2027,tournament-2027-cor-eli-w03-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-san-bro-w05-1,Bronze,"Thiago Silva & Gonzalo Méndez",athleteprofile-1767227105915-lwmxmc|athleteprofile-1767226918915-bhbzf9,0,81,100%_bots,16,16,false
2027,tournament-2027-sha-sil-w05-2,Silver,"Gonzalo Giménez & Diego Vega",athleteprofile-1767226995915-ofb73e|athleteprofile-1767227001915-vg4klk,0,86.5,100%_bots,16,16,false
2027,tournament-2027-mex-mas-w05-3,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,24,24,false
2027,tournament-2027-mia-pla-w06-1,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,32,32,false
2027,tournament-2027-lon-cro-w06-2,Crown,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,20,20,false
2027,tournament-2027-riy-bro-w07-1,Bronze,"Tomás Romero & Nicolás Alonso",athleteprofile-1767227141915-uyrosi|athleteprofile-1767227116915-y788mn,0,82,100%_bots,16,16,false
2027,tournament-2027-tor-sil-w08-1,Silver,"Franco López & Rubén Romero 243",athleteprofile-1767226992915-php43i|athleteprofile-1767227038915-7kmr7d,0,83,100%_bots,16,16,false
2027,tournament-2027-nyc-gol-w08-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-osa-eli-w08-3,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-dub-bro-w09-1,Bronze,"Lucas Miranda & Ignacio Cabrera",athleteprofile-1767226987915-xife0f|athleteprofile-1767226991915-cdstq8,0,84,100%_bots,16,16,false
2027,tournament-2027-doh-mas-w10-1,Masters,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92.5,100%_bots,24,24,false
2027,tournament-2027-mex-bro-w11-1,Bronze,"Rubén Iglesias & Franco Méndez",athleteprofile-1767226928915-l2809c|athleteprofile-1767227091915-c9p3ko,0,82.5,100%_bots,16,16,false
2027,tournament-2027-mel-sil-w11-2,Silver,"Gonzalo Giménez & Diego Vega",athleteprofile-1767226995915-ofb73e|athleteprofile-1767227001915-vg4klk,0,87,100%_bots,16,16,false
2027,tournament-2027-lim-bro-w13-1,Bronze,"Franco López & Rubén Romero 243",athleteprofile-1767226992915-php43i|athleteprofile-1767227038915-7kmr7d,0,83,100%_bots,16,16,false
2027,tournament-2027-ams-eli-w13-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-bue-sil-w14-1,Silver,"Alonso Rodríguez Martínez & Lucas Costa",real_alonso_rodriguez_martinez|athleteprofile-1767226982915-maep29,1,88,mista,16,16,false
2027,tournament-2027-sin-gol-w14-2,Gold,"Daniel Ferrer 165 & Carlos Castro",athleteprofile-1767226960915-ool99f|athleteprofile-1767226983915-ciovwa,0,91,100%_bots,24,24,false
2027,tournament-2027-bog-mas-w14-4,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,24,24,false
2027,tournament-2027-cas-pla-w14-3,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96.5,100%_reais,32,32,false
2027,tournament-2027-ath-bro-w15-1,Bronze,"Juan Cruz Belluati & Pol Hernández Álvarez",real_juan_cruz_belluati|real_pol_hernandez_alvarez,2,80.5,100%_reais,16,16,false
2027,tournament-2027-lis-bro-w17-1,Bronze,"Javier Valdés & Aris Patiniotis",real_javier_valdes|real_aris_patiniotis,2,79.5,100%_reais,16,16,false
2027,tournament-2027-mum-sil-w17-2,Silver,"Albert Roglán Pons & Diego Castro",real_albert_roglan_pons|athleteprofile-1767226924915-11bsx7,1,82.5,mista,16,16,false
2027,tournament-2027-nai-eli-w17-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,20,20,false
2027,tournament-2027-lax-cro-w18-1,Crown,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,20,20,false
2027,tournament-2027-tok-bro-w19-1,Bronze,"Tomás Romero & Nicolás Alonso",athleteprofile-1767227141915-uyrosi|athleteprofile-1767227116915-y788mn,0,82,100%_bots,16,16,false
2027,tournament-2027-bue-mas-w19-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-tor-sil-w20-1,Silver,"Tomás Romero & Nicolás Alonso",athleteprofile-1767227141915-uyrosi|athleteprofile-1767227116915-y788mn,0,82,100%_bots,16,16,false
2027,tournament-2027-cun-gol-w20-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-sha-bro-w21-1,Bronze,"Javier Miranda 577 & Álvaro Miranda",athleteprofile-1767227372915-bcmh12|athleteprofile-1767227227915-6vu1c2,0,77.5,100%_bots,16,16,false
2027,tournament-2027-bcn-pla-w22-1,Platinum,"Gonzalo Giménez & Diego Vega",athleteprofile-1767226995915-ofb73e|athleteprofile-1767227001915-vg4klk,0,87.5,100%_bots,32,32,false
2027,tournament-2027-cor-eli-w22-2,Elite,"André Romero & Emiliano Silva",athleteprofile-1767226935915-kztevz|athleteprofile-1767226940915-udi6n5,0,92.5,100%_bots,20,20,false
2027,tournament-2027-sao-bro-w23-1,Bronze,"Felipe Vega & Samuel Acosta",athleteprofile-1767226958915-1mrae5|athleteprofile-1767227085915-0arzhg,0,81.5,100%_bots,16,16,false
2027,tournament-2027-san-sil-w23-2,Silver,"Samuel Giménez & Rubén Iglesias 278",athleteprofile-1767227031915-yo4j39|athleteprofile-1767227073915-ilmluo,0,79.5,100%_bots,16,16,false
2027,tournament-2027-bue-bro-w24-1,Bronze,"Pedro Torres & Nicolás Suárez",athleteprofile-1767226949915-kqur3p|athleteprofile-1767227026915-i0uwrg,0,81.5,100%_bots,16,16,false
2027,tournament-2027-mex-mas-w24-2,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,24,24,false
2027,tournament-2027-tor-gol-w25-1,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-mon-bro-w26-1,Bronze,"Rubén Iglesias & Franco Méndez",athleteprofile-1767226928915-l2809c|athleteprofile-1767227091915-c9p3ko,0,84,100%_bots,16,16,false
2027,tournament-2027-lim-sil-w26-2,Silver,"Ignacio Santos & Pedro Herrera",athleteprofile-1767226964915-1622oy|athleteprofile-1767226956915-m8aidu,0,86,100%_bots,16,16,false
2027,tournament-2027-rom-eli-w27-1,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,20,20,false
2027,tournament-2027-mel-bro-w28-1,Bronze,"Javier Valdés & Aris Patiniotis",real_javier_valdes|real_aris_patiniotis,2,79.5,100%_reais,16,16,false
2027,tournament-2027-seo-sil-w29-1,Silver,"Ignacio Santos & Pedro Herrera",athleteprofile-1767226964915-1622oy|athleteprofile-1767226956915-m8aidu,0,86,100%_bots,16,16,false
2027,tournament-2027-mum-mas-w29-3,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,24,24,false
2027,tournament-2027-ams-pla-w29-2,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,32,32,false
2027,tournament-2027-sto-cro-w29-4,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-bkk-bro-w30-1,Bronze,"Carlos García & Diego Alonso 956",athleteprofile-1767227114915-3n3mzs|athleteprofile-1767227751915-1eltgy,0,85,100%_bots,16,16,false
2027,tournament-2027-cpt-gol-w31-1,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,24,24,false
2027,tournament-2027-pra-bro-w32-1,Bronze,"Carlos García & Diego Alonso 956",athleteprofile-1767227114915-3n3mzs|athleteprofile-1767227751915-1eltgy,0,85,100%_bots,16,16,false
2027,tournament-2027-cor-sil-w32-2,Silver,"Thiago Silva & Gonzalo Méndez",athleteprofile-1767227105915-lwmxmc|athleteprofile-1767226918915-bhbzf9,0,82,100%_bots,16,16,false
2027,tournament-2027-sao-eli-w32-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,20,20,false
2027,tournament-2027-dub-mas-w33-1,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97,100%_reais,24,24,false
2027,tournament-2027-sha-bro-w34-1,Bronze,"Enzo Santos 932 & Rafael Costa 955",athleteprofile-1767227727915-sqhn69|athleteprofile-1767227750915-gbfeg6,0,87.5,100%_bots,16,16,false
2027,tournament-2027-doh-sil-w35-1,Silver,"Tomás Herrera & Diego Castro 352",athleteprofile-1767227174915-468nwk|athleteprofile-1767227147915-kqnthb,0,82,100%_bots,16,16,false
2027,tournament-2027-cas-bro-w36-1,Bronze,"Ignacio Sager & Tomás Vidal",real_ignacio_sager|athlete-003,1,84.5,mista,16,16,false
2027,tournament-2027-tor-eli-w36-2,Elite,"Daniel Ferrer 165 & Carlos Castro",athleteprofile-1767226960915-ool99f|athleteprofile-1767226983915-ciovwa,0,91.5,100%_bots,20,20,false
2027,tournament-2027-ath-gol-w37-1,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-mad-pla-w37-2,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,32,32,false
2027,tournament-2027-osa-bro-w38-1,Bronze,"Ignacio Santos & Pedro Herrera",athleteprofile-1767226964915-1622oy|athleteprofile-1767226956915-m8aidu,0,86.5,100%_bots,16,16,false
2027,tournament-2027-nai-sil-w38-2,Silver,"Bruno Ferrer 341 & Thiago Miranda",athleteprofile-1767227136915-9rjkk7|athleteprofile-1767227171915-pm1vug,0,83.5,100%_bots,16,16,false
2027,tournament-2027-mum-mas-w38-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,24,24,false
2027,tournament-2027-seo-bro-w40-1,Bronze,"Martín Castro & Ignacio Rojas 963",athleteprofile-1767227741915-xaopzm|athleteprofile-1767227758915-2d2o09,0,89,100%_bots,16,16,false
2027,tournament-2027-sin-sil-w41-1,Silver,"Bruno Ferrer 341 & Thiago Miranda",athleteprofile-1767227136915-9rjkk7|athleteprofile-1767227171915-pm1vug,0,83.5,100%_bots,16,16,false
2027,tournament-2027-bcn-eli-w41-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-sao-cro-w41-3,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,95,100%_reais,20,20,false
2027,tournament-2027-mex-bro-w42-1,Bronze,"Teodoro Zapata & Nuno Deus",real_teodoro_zapata|real_nuno_deus,2,80.5,100%_reais,16,16,false
2027,tournament-2027-bkk-gol-w43-1,Gold,"Leonel Daniel Aguirre & Íñigo Jofre",real_leonel_daniel_aguirre|real_inigo_jofre,2,85.5,100%_reais,24,24,false
2027,tournament-2027-tor-mas-w43-2,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,97.5,100%_reais,24,24,false
2027,tournament-2027-sha-bro-w44-1,Bronze,"Martín Martínez & Martín Cabrera 339",athleteprofile-1767227115915-cyer16|athleteprofile-1767227134915-2rc53l,0,88.5,100%_bots,16,16,false
